CLIENT_ID,treat
10137,1
54012,2
23168,2
26682,1
28791,1
15494,1
12703,2
78742,2
41154,2
24684,2
62030,1
19227,1
48707,1
23010,2
38133,1
24467,2
10611,2
46779,2
10036,1
29243,1
60005,2
43753,1
67437,2
54087,2
939,2
44750,2
44670,2
2358,1
75189,1
14667,1
16057,1
33111,2
26838,2
31178,2
600,2
2321,1
6622,1
43215,2
2349,2
3589,2
23438,1
77929,1
1747,1
45764,1
28710,1
33316,1
24735,2
41778,2
72490,1
53883,2
72363,1
51453,1
1970,2
43112,1
20273,2
54462,1
8982,2
24667,2
76237,1
56639,1
6274,2
48125,2
61431,1
8906,1
33376,2
31061,2
10528,1
59900,1
25208,2
50053,2
46327,2
52429,2
68734,2
37202,1
20466,2
40373,1
30679,2
3610,2
9645,1
34267,2
10194,2
42240,1
43676,1
61738,1
72444,1
10688,1
29815,1
32753,1
70551,1
47014,1
49138,1
55823,1
34390,2
78675,2
55859,1
9437,2
48680,2
18750,2
40905,2
62268,2
41513,1
67553,1
72897,2
78953,1
56271,2
58699,2
69496,1
26549,2
42303,2
79195,1
79530,2
29332,2
60166,2
65538,2
46446,1
52660,2
58613,2
22920,2
22105,1
42039,1
24947,2
10473,1
49212,1
60394,2
68591,1
75399,1
696,2
70601,1
76593,1
21954,1
5979,2
25392,2
68461,2
35037,1
73509,1
37125,2
10976,1
42241,1
45927,1
57729,1
42518,1
48541,1
54140,1
61286,2
73831,1
12276,1
20964,2
21404,2
64265,2
43918,2
67833,2
46965,2
52790,1
67514,2
15120,1
41362,1
35449,1
38544,2
57275,1
63079,2
20693,1
43934,2
48192,2
56379,2
48050,1
70311,1
18839,2
21971,1
66324,2
77902,1
28529,2
66346,1
24646,1
54817,1
217,2
41047,2
47500,1
48772,2
56664,2
64154,1
39090,1
59541,1
20341,1
52664,2
12702,2
44550,2
35900,1
73533,2
20399,2
22456,2
48611,1
63574,1
3942,2
4588,1
7948,2
7964,1
31251,2
42746,1
49087,2
51538,2
2027,2
16342,2
36369,1
48724,1
20284,2
24471,2
53978,1
59755,1
7082,2
22663,1
52127,1
60787,1
15533,2
20694,2
26970,2
67672,1
1349,2
39767,1
52941,1
58953,1
17929,1
22572,1
23087,2
57425,2
45209,2
55249,2
56047,1
74990,2
15936,1
15954,1
43618,1
62380,2
22988,2
30246,1
55778,1
69790,2
12810,2
28647,1
44112,2
76215,1
4213,1
36146,1
45831,2
55559,2
18863,1
21923,2
25948,1
46255,2
75850,1
77128,2
4800,1
19805,2
69419,2
76724,1
77154,2
78110,2
9603,1
23655,2
30626,1
32119,1
46716,2
75694,2
49699,1
54813,1
65166,2
67495,1
72790,1
79798,2
7056,1
8492,2
17454,2
60070,1
66745,1
71337,2
4833,2
23580,1
26607,1
40379,2
47647,1
79037,2
11275,2
11449,1
11565,1
13199,1
18862,2
35914,2
1590,2
12220,2
20135,1
42951,1
50646,1
53017,2
2573,2
22315,1
25186,1
54241,2
59898,2
62583,1
4967,1
18495,2
25830,2
51020,1
59452,2
68368,2
11808,1
32851,1
41717,2
49593,1
49777,2
76840,2
10857,2
18020,1
38020,1
43834,1
59543,2
79571,1
28409,2
49407,2
57006,1
58136,2
68203,1
76360,2
1111,1
9747,1
28400,2
36235,1
57013,2
79840,1
15607,1
17050,2
19955,1
28282,1
35092,2
54742,1
56313,2
64354,1
975,1
1505,2
10583,2
25444,2
38586,1
59660,1
62729,2
78401,2
7572,1
10062,1
15641,2
27237,1
33259,2
41311,2
59195,2
61973,2
2414,1
5357,1
21091,2
24521,2
63589,1
65812,2
74712,1
79794,1
2208,1
5470,2
15247,2
26728,1
36271,2
38235,1
44588,2
57444,1
1482,1
30405,2
39367,1
57766,1
59537,1
66615,2
68183,2
68453,2
711,2
1845,1
6853,1
16776,2
21738,2
37234,1
54879,2
58320,1
16697,1
31321,1
43626,1
47488,2
49869,2
59475,2
63132,1
75683,2
9873,1
15195,2
21532,2
37426,1
41338,2
42379,1
63680,2
66525,1
219,2
18883,1
24232,2
27011,2
49949,1
59568,1
64543,2
75793,1
8988,2
20159,2
24189,2
25056,1
35423,1
54571,1
69527,2
76798,1
77925,2
79232,1
3382,2
22781,1
23704,1
31847,1
42124,2
51248,2
55910,2
64728,2
65236,2
65525,1
6383,1
12513,1
47891,2
73046,2
73275,1
77556,1
78255,2
79580,2
79586,1
79595,1
10486,2
10804,2
12839,2
21466,1
22039,1
34574,2
43631,1
44593,1
45314,1
60898,2
882,2
4696,2
5344,1
22092,2
25046,1
26259,1
32944,2
45418,1
59983,1
68703,2
15976,1
20560,2
22334,1
26224,2
32020,2
32868,1
39401,2
42621,1
45825,1
78504,2
2496,1
15691,2
18238,1
20954,2
23089,1
34514,2
41992,2
48742,1
58421,1
72074,2
18657,2
20851,1
26886,1
35104,2
45525,1
55567,1
60708,2
67623,2
75890,1
78448,2
14021,1
14464,2
17143,2
25990,1
38556,1
39486,2
49218,2
57283,2
62226,1
63738,1
74413,1
75292,2
17,1
4373,2
6827,2
7797,2
12421,1
16428,1
16654,1
27090,1
42037,1
49163,2
49661,2
71589,2
4069,1
7239,1
15987,1
42380,2
49092,1
51604,1
55906,2
56330,1
57886,2
58360,2
59131,2
70400,2
4101,1
5224,2
14652,1
15417,1
19075,1
36215,2
50792,2
58285,2
58928,1
68515,1
70390,2
75911,2
11842,2
13102,2
13720,1
16528,1
24956,2
25155,2
53117,1
56153,2
57259,1
59299,2
70826,1
75603,2
12602,1
16676,2
18781,1
22477,2
23795,2
25638,1
39506,2
47754,1
52427,1
62612,2
78984,1
79691,1
6957,1
12338,1
13985,1
14583,2
16088,2
20760,1
29034,2
29756,2
31934,2
40591,2
41423,1
45762,1
46952,2
60221,1
3478,2
10926,1
13187,1
21694,2
21718,2
34500,1
41020,2
47220,2
57294,1
60197,2
62988,2
69107,1
74108,1
74831,1
7006,2
8084,1
11766,1
13603,2
14628,2
29623,2
32629,2
34402,2
38520,1
43756,2
54390,1
62796,2
67798,1
72660,1
78563,2
78878,1
3885,1
4517,1
5478,2
6710,1
7198,2
13029,1
15481,1
18490,1
21468,2
24126,2
28271,2
29363,1
36365,2
49818,1
62808,1
67142,2
16619,1
22127,1
27093,2
34116,1
37866,1
44320,1
56833,1
56851,1
58416,1
63703,2
67594,2
68345,2
69655,2
70332,2
72197,2
75136,2
602,2
4534,1
6103,2
9264,1
12343,2
13795,2
19091,1
25469,2
32543,1
36708,2
46979,1
59994,2
62210,1
71916,1
74157,1
76721,2
254,1
818,2
1105,2
4958,1
5657,2
14454,1
14816,2
15887,1
19938,1
35275,2
44205,2
45854,1
52663,1
60341,1
62883,2
63940,2
67986,1
77122,2
6287,1
6352,1
15900,1
18247,2
18947,2
23200,2
25225,1
41147,2
47192,2
47931,2
53080,1
55129,2
62223,2
64687,1
69811,1
73529,2
75252,1
77008,1
2178,1
6345,1
11838,2
12676,1
20564,2
23396,2
25572,1
29750,1
29913,2
33378,1
45538,2
48562,1
50615,1
62617,2
65742,2
66843,2
67373,1
70414,2
657,1
1394,1
9370,1
19858,2
23864,2
27133,2
33537,2
43591,2
43644,2
44884,2
48055,1
48649,1
49488,1
54504,2
60931,1
62660,2
65925,1
68690,1
69502,1
79665,2
9139,1
9546,1
12507,2
18501,1
27951,2
28748,1
40166,2
44680,1
48754,1
52530,1
52877,2
55719,1
55941,1
57292,2
57605,2
58147,2
62475,1
73534,2
78816,2
78868,2
3284,2
3328,2
5408,1
6445,1
19762,2
22907,2
27038,1
30559,1
32536,2
44384,1
45192,2
45344,1
48156,1
58669,2
58993,1
60150,2
60189,1
62953,2
63854,1
68004,2
7939,2
9594,2
15980,1
20046,2
23163,1
25950,1
32101,1
37055,2
48075,1
52694,2
52861,2
54100,1
54254,1
54548,1
57851,1
58683,1
63694,2
64808,2
69904,2
70234,1
71153,2
72257,2
2264,1
7858,2
8602,1
12288,2
15332,2
21945,1
22287,2
24702,1
28071,1
31644,2
31660,2
41178,1
44886,2
48335,2
48938,2
51571,1
58971,1
63087,2
67969,1
70748,1
74930,1
75372,1
76410,2
76885,2
1987,2
6250,2
9241,2
15136,2
18284,1
20994,1
24063,2
25391,2
28176,2
29300,1
35556,1
36755,1
37575,1
39153,1
46339,1
52319,1
52372,2
57784,1
59199,2
63758,2
65861,2
70301,1
77696,1
79370,2
1821,2
5530,1
7542,2
8596,2
9640,1
12372,1
14940,2
16109,1
20314,1
24619,1
25888,1
26806,2
26821,2
28166,2
28222,1
35683,2
46816,1
49147,1
50558,1
50587,2
51597,2
61225,2
61477,1
65810,1
